./code/LebwohlLasher_numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.328, Time: 2.061183 s
         14268641 function calls (13308636 primitive calls) in 11.318 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
     2930    0.004    0.000    0.020    0.000 __init__.py:2100(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2120(NoDists)
     1370    0.000    0.000    0.000    0.000 __init__.py:2128(__bool__)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
       10    0.000    0.000    0.002    0.000 __init__.py:2135(safe_listdir)
        5    0.000    0.000    0.000    0.000 __init__.py:214(<dictcomp>)
       44    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
     1560    0.005    0.000    0.100    0.000 __init__.py:2151(distributions_from_metadata)
       36    0.000    0.000    0.000    0.000 __init__.py:218(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
        4    0.000    0.000    0.000    0.000 __init__.py:2200(register_namespace_handler)
      942    0.002    0.000    0.066    0.000 __init__.py:2218(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:2218(_make_class_factory)
       44    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.020    0.020 __init__.py:2237(class_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2247(subcls)
        1    0.000    0.000    0.000    0.000 __init__.py:226(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
       12    0.000    0.000    0.001    0.000 __init__.py:2289(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:229(Splitter)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
      320    0.001    0.000    0.066    0.000 __init__.py:2323(fixup_namespace_packages)
      415    0.001    0.000    0.003    0.000 __init__.py:2335(file_ns_handler)
        8    0.000    0.000    0.001    0.000 __init__.py:2362(normalize_path)
        8    0.000    0.000    0.000    0.000 __init__.py:2368(_cygwin_patch)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
     3080    0.001    0.000    0.001    0.000 __init__.py:2379(_normalize_cached)
       12    0.000    0.000    0.000    0.000 __init__.py:2387(_is_egg_path)
       12    0.000    0.000    0.000    0.000 __init__.py:2394(_is_zip_egg)
       11    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
       22    0.000    0.000    0.000    0.000 __init__.py:2402(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
        1    0.000    0.000    0.001    0.001 __init__.py:2435(EntryPoint)
      324    0.000    0.000    0.001    0.000 __init__.py:2438(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:244(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:248(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
